GID_date,Site_ID,GID,GID_gg,GID_hr
81247,,,73480,
81248,,,,71615
81249,,,73481,
81250,,,,71616
81251,,,73482,
81252,,,,71617
81253,,,73483,
81254,,,73484,
81255,,,73485,
81256,,,,71618
81257,,,73486,
81258,,,73487,
81259,,,,71619
81260,,,73488,
81261,,,,71620
81262,,,73489,
81263,,,73490,
81264,,,73491,
81265,,,73492,
81266,,,,71621
81267,,,73493,
81268,,50086,,
81269,,50087,,
81270,,,73494,
81271,,,73495,
81272,,72528,,
81273,,50088,,
81274,,,,71622
81275,,,73497,
81276,,,73496,
81277,,72531,,
81278,,50091,,
81279,,72529,,
81280,,72530,,
81281,,,,71624
81282,,,,70757
81283,,,,71623
81284,,,,71625
81285,,,73498,
81286,,,73499,
81287,,,73500,
81288,,,73501,
81289,,,73502,
81290,,,73503,
81291,,,73504,
81292,,,73505,
81293,,,73506,
81294,,50092,,
81295,,72532,,
81296,,,,71627
81297,,,,71626
81298,,,73507,
81299,,,73508,
81300,,72533,,
81301,,,,71628
81302,,,73509,
81303,,,,70759
81304,,50118,,
81305,,,,71629
81306,,,73510,
81307,,,,70760
81308,,,73511,
81312,,,,71631
81313,,,73515,
81314,,,,71632
81315,,,73516,
81316,,,,71633
81317,,,73517,
81318,,,73518,
81319,,,,71634
81320,,,73519,
81321,,,73520,
81322,,,73521,
81323,,,,71635
81324,,,73522,
81325,,,,71636
81327,,,73524,
81328,,,,71637
81329,,,73525,
81330,,,,71638
81331,,,73526,
81332,,,,71639
81333,,,73527,
81335,,,73529,
81336,,,73530,
81337,,,73531,
81338,,72535,,
81339,,,73532,
81340,,,73533,
81341,,,73534,
81342,,,73535,
81343,,,,70771
81344,,,,70772
81345,,,,71641
81346,,,73536,
81347,,,73537,
81348,,,73538,
81349,,,,71642
81350,,,73539,
81351,,,73540,
81352,,,73541,
81353,,,73542,
81354,,,,71643
81355,,,73543,
81356,,,73544,
81357,,,73545,
81358,,,,71644
81359,,,73546,
81360,,,73547,
81361,,,73548,
81362,,,,71645
81363,,,73549,
81364,,50180,,
81365,,,,71646
81366,,,73550,
81367,,,,70775
81368,,,73551,
81369,,,,71647
81370,,,73552,
81371,,,73553,
81372,,,,71648
81374,,,73555,
81375,50181,,,
81376,,,,71649
81377,,,73556,
81378,,,73557,
81379,,,73558,
81380,,,,71650
81381,,,73559,
81382,,,73560,
81383,,,,71651
81384,,,73561,
81385,,,,71652
81386,,,,71653
81387,,,73562,
81388,,,73563,
81389,,,73564,
81396,,,,71657
81397,,,73568,
81398,,,,71658
81399,,,73569,
81400,,,,71659
81401,,,73570,
81402,,,73571,
81403,,,,71660
81404,,,73572,
81405,,,73573,
81406,,,,71661
81407,,,73574,
81408,,,73575,
81409,,,73576,
81410,,,73577,
81411,,,73578,
